id,name,title,credits,description,parent_id,left,right
1,ISAT ,,,,0,1,252
2,Foundation,,,,1,2,35
3,Issues in Science and Technology,,,,2,5,4
4,Analytical Methods,,,,2,15,28
5,Social Context ,,,,2,29,34
6,Sectors,,,,1,36,81
7,Energy,,,,6,45,52
8,Applied Biotechnology,,,,6,37,44
9,IKM,,,,6,69,72
10,Telecom,,,,6,73,80
11,Engineering/Manufacturing,,,,6,53,60
12,Environment,,,,6,61,68
13,Concentrations,,,,1,82,195
14,Energy,,,,13,101,116
15,Applied Biotechnology,,,,13,83,100
16,IKM,,,,13,171,180
17,Telecom,,,,13,181,194
18,Engineering/Manufacturing,,,,13,117,142
19,Environment,,,,13,143,170
20,Senior Capstone,,,,1,196,209
21,Electives,,,,1,210,251
22,ISAT 100, Environmental and Energy Sustainability,3,"This course explores scientific and technical issues important to environmental and energy sustainability. Students study fundamental chemistry and physics and then apply this knowledge to better understand air quality, water quality, and conventional and alternative energy processes. The class also explores the societal impacts of our energy choices and the potential impact we as individuals can have through personal initiative. May be used for general education credit.",21,211,212
23,ISAT 101, ISAT Freshman Seminar,1,This seminar course will introduce the ISAT curriculum and career options to freshmen students and will describe how various elements of the curriculum and available ISAT elective sequences in each technology sector relate to the goals and objectives of the program. ,2,3,4
24,ISAT 112," Environmental Issues in Science and Technology (2, 2)",4,"This course integrates the study of biology, chemistry and statistics within the context of environmental issues that include ozone depletion, acid rain, global warming, waste management and biodiversity. May be used for general education credit.",3,6,7
25,ISAT 113," Biotechnology Issues in Science and Technology: (2, 2)",4,"This course introduces current topics in the life science technologies through lecture and laboratory exercises. Topics include advances in genetic engineering, the hierarchy of life and the rise of infectious diseases. May be used for general education credit.",3,8,9
26,ISAT 113H," Biotechnology Issues in Science and Technology: Honors (2, 2)",4,"This course introduces current topics in the life science technologies through lecture and laboratory exercises. Topics include advances in genetic engineering, the hierarchy of life and the rise of infectious diseases. May be used for general education credit.",21,213,214
27,ISAT 131," Technology, Science and Society (1, 2)",3,This course introduces the social aspects of technology and science. It covers social science methods and related philosophical and ethical analyses. Students learn how the practice of science relates to the human-built world and why critical evaluations of science and technology policies are important.,5,30,31
28,ISAT 150, Algebra Essentials,1,"This course provides review and practice in algebra concepts that are needed to successfully complete . Various mathematical models, including trigonometric, are also reviewed. The course is designed for students who possess a basic understanding of algebra but are not proficient in its application. ",21,215,216
29,ISAT 151, Topics in Applied Calculus in ISAT,4,"This course introduces the concepts of differential and integral calculus and ordinary differential equations to model real-world applications in science, business, technology and economics. This course includes a computer laboratory component emphasizing modeling and numerical methods. Course assumes familiarity with algebra and trigonometry. May be used for general education credit.",4,16,17
30,ISAT 151L, Analytical Methods I: Applied Calculus Laboratory,1,"This course is the computer laboratory portion of ISAT 151. Topics in Applied Calculus in ISAT. It is intended for students who already have AP credit or calculus lecture credit. Students will use numerical methods to solve mathematical modeling and calculus problems with Microsoft Excel. Students will study linear, polynomial, exponential, logarithmic, S-curve and trigonometric models in business and the physical and natural sciences. ",4,26,27
31,ISAT 152, Topics in Applied Physics in Integrated Science and Technology,4,"This course introduces topics in general physics including one- and two-dimensional motion, mechanics, energy, waves, electricity, magnetism, optics, lasers, and early quantum theory. Vectors, algebra, and differential and integral calculus, are used to model physical system behavior. Laboratory experiments and computer exercises enhance understanding of the concepts. ",4,18,19
32,ISAT 160, Problem Solving Applications in Science and Technology,3,"This course examines issues in modern science and technology as a means to introduce, develop and enhance critical thinking and problem solving skills. Current scientific and technological research and applications will be introduced to reinforce problem solving, instruction in systems thinking and critical inquiry. The course provides opportunities for using both oral and written communication in a variety of learning activities. May be used for general education credit.",21,217,218
33,ISAT 166/BIO 204, Viral Genome and Bioinformatics,2,"This is a computer-based laboratory experience, designed for those students completing the Viral Discovery course. Students will learn how to identify genes in a viral genome, compare the predicted proteins with known proteins in databases, describe the contents of the genome, and notate all the relevant information for publication. Students will also research the ecology of soil and the role played by bacteriophages in ecology and evolution. ",21,219,220
34,ISAT 180, Topics in Integrated Science and Technology,"""1-4""",Special topics in integrated science and technology which are of interest to the entry-level student. May be repeated for credit when course content changes. Students should consult the instructor prior to enrolling for the course. Prerequisite: Permission of the instructor.,21,221,222
35,ISAT 181, Student Research Report,"""1-6""","Research project on a science and technology topic of interest, as arranged with a faculty research adviser. Projects will include as assessment of the non-technical issues that surround the technical problem.",21,223,224
36,ISAT 203, Viral Discovery,2,"An exploratory laboratory experience, designed for incoming freshmen. Students will learn about the life cycle and ecology of viruses infecting bacteria. Soil samples will be collected, and techniques for isolation and purification of the viruses will be performed by the students. Isolated viruses will be visualized using electron microscopy. The genomic material will be isolated and prepared for nucleic acid sequencing.",21,225,226
37,ISAT 204, Viral Genome and Bioinformatics,2,"A computer-based laboratory experience, designed for students completing the Viral Discovery course. Students will learn to identify genes in a viral genome, compare the predicted proteins with known proteins in databases, describe the contents of the genome and notate all the relevant information for publication. Students will also research the role of bacteriophages in ecology and evolution. ",21,227,228
